entity_code,period_end,period_type,statement_scope,currency,unit,line_item,value,data_status,source_document_id,source_page,extraction_method,notes
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,revenue,100000,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,cogs,-78000,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,gross_profit,22000,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,ebitda,8000,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,ebit,6000,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,interest_expense,-1000,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,pretax_income,5000,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,tax_expense,-1000,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,net_income,4000,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,total_assets,80000,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,total_liabilities,50000,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,total_equity,30000,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,current_assets,45000,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,current_liabilities,35000,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,cash,12000,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,inventory,22000,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,receivables,6000,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,payables,18000,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,total_debt,25000,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,operating_cash_flow,6500,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,investing_cash_flow,-3000,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,financing_cash_flow,-2000,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,fx_cash_effect,0,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,opening_cash,10500,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,ending_cash,12000,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2024-12-31,FY,consolidated,VND,VND_bn,capex,-3000,synthetic,SYNTHETIC-MWG-FY2024,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2025-12-31,FY,consolidated,VND,VND_bn,revenue,115000,synthetic,SYNTHETIC-MWG-FY2025,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2025-12-31,FY,consolidated,VND,VND_bn,cogs,-88550,synthetic,SYNTHETIC-MWG-FY2025,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2025-12-31,FY,consolidated,VND,VND_bn,gross_profit,26450,synthetic,SYNTHETIC-MWG-FY2025,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2025-12-31,FY,consolidated,VND,VND_bn,ebitda,10350,synthetic,SYNTHETIC-MWG-FY2025,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2025-12-31,FY,consolidated,VND,VND_bn,ebit,8050,synthetic,SYNTHETIC-MWG-FY2025,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2025-12-31,FY,consolidated,VND,VND_bn,interest_expense,-900,synthetic,SYNTHETIC-MWG-FY2025,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2025-12-31,FY,consolidated,VND,VND_bn,pretax_income,7150,synthetic,SYNTHETIC-MWG-FY2025,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2025-12-31,FY,consolidated,VND,VND_bn,tax_expense,-1430,synthetic,SYNTHETIC-MWG-FY2025,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2025-12-31,FY,consolidated,VND,VND_bn,net_income,5720,synthetic,SYNTHETIC-MWG-FY2025,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2025-12-31,FY,consolidated,VND,VND_bn,total_assets,90000,synthetic,SYNTHETIC-MWG-FY2025,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2025-12-31,FY,consolidated,VND,VND_bn,total_liabilities,54000,synthetic,SYNTHETIC-MWG-FY2025,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2025-12-31,FY,consolidated,VND,VND_bn,total_equity,36000,synthetic,SYNTHETIC-MWG-FY2025,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2025-12-31,FY,consolidated,VND,VND_bn,current_assets,50000,synthetic,SYNTHETIC-MWG-FY2025,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2025-12-31,FY,consolidated,VND,VND_bn,current_liabilities,36000,synthetic,SYNTHETIC-MWG-FY2025,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2025-12-31,FY,consolidated,VND,VND_bn,cash,15000,synthetic,SYNTHETIC-MWG-FY2025,,manual,Illustrative fixture only
SYNTH_MWG_GROUP,2025-12-31,FY,consolidated,VND,VND_bn,inventory,23000,synthetic,SYNTHETIC-MWG-FY2025,,manual,Illustrative fixture only
